0	15
1	14
2	16
3	13
4	19
5	18
6	20
7	17
8	30
9	29
10	37
11	38
12	36
13	47
14	46
15	48
16	51
17	50
18	49
19	52
20	55
21	54
22	53
23	56
24	81
25	84
26	83
27	82
28	90
29	88
30	89
31	59
32	58
33	57
34	60
35	63
36	62
37	61
38	64
39	112
40	109
41	111
42	110
43	122
44	124
45	121
46	123
47	126
48	128
49	125
50	127
51	104
52	101
53	103
54	102
55	116
56	114
57	115
58	113
59	117
60	118
61	23
62	22
63	24
64	21
65	27
66	26
67	28
68	25
69	32
70	31
71	34
72	35
73	33
74	45
75	44
76	39
77	41
78	43
79	40
80	42
81	67
82	66
83	65
84	68
85	71
86	70
87	69
88	72
89	87
90	85
91	86
92	120
93	119
94	75
95	74
96	73
97	76
98	79
99	78
100	77
101	80
102	93
103	91
104	92
105	108
106	105
107	107
108	106
109	96
110	94
111	95
112	100
113	97
114	99
115	98
